 Count  Overhead File                    Line Function
   811         0 …tol/profile_heat3d.jl    60 (::var"#numerical_computation_onl…
   979       979 @Base/essentials.jl       14 getindex
  1021       364 @Base/float.jl           514 rem
  1475         0 …eat3d_NonUniformII.jl    14 λf
  1475         0 @Base/div.jl              47 div
  1475         0 @Base/div.jl             343 div
  1475         0 @Base/div.jl             370 div
  1475         0 @Base/div.jl              97 rem
  2571      2571 @Base/essentials.jl        ? sor!(p::Array{Float64, 3}, SZ::Tu…
  2685         0 …eat3d_NonUniformII.jl   571 PBiCGSTAB!(X::Array{Float64, 3}, …
  2708         0 …eat3d_NonUniformII.jl   579 PBiCGSTAB!(X::Array{Float64, 3}, …
  5393         0 …eat3d_NonUniformII.jl   770 Preconditioner!(xx::Array{Float64…
  6499         0 …at3D/q3d/heat3d_nu.jl   208 main(SZ::Tuple{Int64, Int64, Int6…
  6505         0 …tol/profile_heat3d.jl    63 (::var"#numerical_computation_onl…
  7316         0 @Base/client.jl          552 _start()
  7316         0 @Base/client.jl          318 exec_options(opts::Base.JLOptions)
  7316         0 @Base/Base.jl            495 include(mod::Module, _path::Strin…
  7316         0 @Base/loading.jl        2136 _include(mapexpr::Function, mod::…
  7316         0 @Base/loading.jl        2076 include_string(mapexpr::typeof(id…
  7316         0 @Base/boot.jl            385 eval
  7316         0 …tol/profile_heat3d.jl    87 profile_heat3d_numerical_only()
  7316         0 …rofile/src/Profile.jl    27 macro expansion
Total snapshots: 7924. Utilization: 100% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
